Year,Period,Area,Area Number,Area Type,Adjustment,Employment,Civilian Labor Force,Unemployment,Unemployment Rate
2024,Annual,Texas,000048,Texas,Not Adjusted,"14,971,373","15,608,932","637,559",4.1
2024,Annual,Aransas                                              ,000007,County,Not Adjusted,"9,582","10,060",478,4.8
2024,Annual,Angelina                                             ,000005,County,Not Adjusted,"35,645","37,228","1,583",4.3
2024,Annual,Andrews                                              ,000003,County,Not Adjusted,"9,352","9,641",289,3
2024,Annual,Anderson                                             ,000001,County,Not Adjusted,"18,659","19,510",851,4.4
2024,Annual,Archer                                               ,000009,County,Not Adjusted,"3,978","4,132",154,3.7
2024,Annual,Armstrong                                            ,000011,County,Not Adjusted,852,879,27,3.1
2024,Annual,Atascosa                                             ,000013,County,Not Adjusted,"21,919","22,860",941,4.1
2024,Annual,Bailey                                               ,000017,County,Not Adjusted,"2,483","2,592",109,4.2
2024,Annual,Austin                                               ,000015,County,Not Adjusted,"14,729","15,294",565,3.7
2024,Annual,Bandera                                              ,000019,County,Not Adjusted,"9,302","9,685",383,4
2024,Annual,Bastrop                                              ,000021,County,Not Adjusted,"53,706","55,733","2,027",3.6
2024,Annual,Baylor                                               ,000023,County,Not Adjusted,"1,706","1,759",53,3
2024,Annual,Blanco                                               ,000031,County,Not Adjusted,"6,232","6,456",224,3.5
2024,Annual,Bell                                                 ,000027,County,Not Adjusted,"158,476","165,823","7,347",4.4
2024,Annual,Bexar                                                ,000029,County,Not Adjusted,"998,663","1,038,335","39,672",3.8
2024,Annual,Bee                                                  ,000025,County,Not Adjusted,"9,568","10,034",466,4.6
2024,Annual,Borden                                               ,000033,County,Not Adjusted,319,329,10,3
2024,Annual,Bosque                                               ,000035,County,Not Adjusted,"8,015","8,340",325,3.9
2024,Annual,Bowie                                                ,000037,County,Not Adjusted,"38,127","39,772","1,645",4.1
2024,Annual,Brazoria                                             ,000039,County,Not Adjusted,"189,551","198,326","8,775",4.4
2024,Annual,Brazos                                               ,000041,County,Not Adjusted,"129,607","134,148","4,541",3.4
2024,Annual,Brewster                                             ,000043,County,Not Adjusted,"5,356","5,517",161,2.9
2024,Annual,Briscoe                                              ,000045,County,Not Adjusted,665,688,23,3.3
2024,Annual,Brooks                                               ,000047,County,Not Adjusted,"2,845","2,971",126,4.2
2024,Annual,Brown                                                ,000049,County,Not Adjusted,"16,834","17,480",646,3.7
2024,Annual,Burleson                                             ,000051,County,Not Adjusted,"9,155","9,503",348,3.7
2024,Annual,Calhoun                                              ,000057,County,Not Adjusted,"11,015","11,390",375,3.3
2024,Annual,Burnet                                               ,000053,County,Not Adjusted,"24,753","25,652",899,3.5
2024,Annual,Caldwell                                             ,000055,County,Not Adjusted,"23,925","24,820",895,3.6
2024,Annual,Callahan                                             ,000059,County,Not Adjusted,"6,551","6,780",229,3.4
2024,Annual,Cameron                                              ,000061,County,Not Adjusted,"179,898","189,824","9,926",5.2
2024,Annual,Camp                                                 ,000063,County,Not Adjusted,"5,137","5,379",242,4.5
2024,Annual,Carson                                               ,000065,County,Not Adjusted,"3,016","3,105",89,2.9
