"Location","Data","LocationType","DataFormat","TimeFrame","LocationId"
"Anderson",10725,"County","Number",2023,6515
"Andrews",5739,"County","Number",2023,6516
"Angelina",21879,"County","Number",2023,6517
"Aransas",4393,"County","Number",2023,6518
"Archer",1993,"County","Number",2023,6519
"Armstrong",392,"County","Number",2023,6520
"Atascosa",13333,"County","Number",2023,6521
"Austin",7385,"County","Number",2023,6522
"Bailey",2002,"County","Number",2023,6523
"Bandera",3615,"County","Number",2023,6524
"Bastrop",26827,"County","Number",2023,6525
"Baylor",811,"County","Number",2023,6526
"Bee",6438,"County","Number",2023,6527
"Bell",102625,"County","Number",2023,6528
"Bexar",519206,"County","Number",2023,6529
"Blanco",2128,"County","Number",2023,6530
"Borden",113,"County","Number",2023,6531
"Bosque",3879,"County","Number",2023,6532
"Bowie",20910,"County","Number",2023,6533
"Brazoria",97517,"County","Number",2023,6534
"Brazos",50684,"County","Number",2023,6535
"Brewster",1747,"County","Number",2023,6536
"Briscoe",300,"County","Number",2023,6537
"Brooks",1877,"County","Number",2023,6538
"Brown",8013,"County","Number",2023,6539
"Burleson",4177,"County","Number",2023,6540
"Burnet",11064,"County","Number",2023,6541
"Caldwell",10896,"County","Number",2023,6542
"Calhoun",4609,"County","Number",2023,6543
"Callahan",2895,"County","Number",2023,6544
"Cameron",122873,"County","Number",2023,6545
"Camp",3328,"County","Number",2023,6546
"Carson",1321,"County","Number",2023,6547
"Cass",6172,"County","Number",2023,6548
"Castro",2074,"County","Number",2023,6549
"Chambers",14280,"County","Number",2023,6550
"Cherokee",12718,"County","Number",2023,6551
"Childress",1199,"County","Number",2023,6552
"Clay",2000,"County","Number",2023,6553
"Cochran",670,"County","Number",2023,6554
"Coke",709,"County","Number",2023,6555
"Coleman",1585,"County","Number",2023,6556
"Collin",280692,"County","Number",2023,6557
"Collingsworth",674,"County","Number",2023,6558
"Colorado",5013,"County","Number",2023,6559
"Comal",39701,"County","Number",2023,6560
"Comanche",3120,"County","Number",2023,6561
"Concho",567,"County","Number",2023,6562
"Cooke",10122,"County","Number",2023,6563
