LocationId,Location,TimeFrame,DataFormat,Data
45,Texas,,Number,
6515,Anderson,,Number,
6516,Andrews,,Number,
6517,Angelina,,Number,
6518,Aransas,,Number,
6519,Archer,,Number,
6520,Armstrong,,Number,
6521,Atascosa,,Number,
6522,Austin,,Number,
6523,Bailey,,Number,
6524,Bandera,,Number,
6525,Bastrop,,Number,
6526,Baylor,,Number,
6527,Bee,,Number,
6528,Bell,,Number,
6529,Bexar,,Number,
6530,Blanco,,Number,
6531,Borden,,Number,
6532,Bosque,,Number,
6533,Bowie,,Number,
6534,Brazoria,,Number,
6535,Brazos,,Number,
6536,Brewster,,Number,
6537,Briscoe,,Number,
6538,Brooks,,Number,
6539,Brown,,Number,
6540,Burleson,,Number,
6541,Burnet,,Number,
6542,Caldwell,,Number,
6543,Calhoun,,Number,
6544,Callahan,,Number,
6545,Cameron,,Number,
6546,Camp,,Number,
6547,Carson,,Number,
6548,Cass,,Number,
6549,Castro,,Number,
6550,Chambers,,Number,
6551,Cherokee,,Number,
6552,Childress,,Number,
6553,Clay,,Number,
6554,Cochran,,Number,
6555,Coke,,Number,
6556,Coleman,,Number,
6557,Collin,,Number,
6558,Collingsworth,,Number,
6559,Colorado,,Number,
6560,Comal,,Number,
6561,Comanche,,Number,
6562,Concho,,Number,
6563,Cooke,,Number,
6564,Coryell,,Number,
6565,Cottle,,Number,
6566,Crane,,Number,
6567,Crockett,,Number,
6568,Crosby,,Number,
6569,Culberson,,Number,
6570,Dallam,,Number,
6571,Dallas,,Number,
6572,Dawson,,Number,
6573,Deaf Smith,,Number,
6574,Delta,,Number,
6575,Denton,,Number,
6576,DeWitt,,Number,
6577,Dickens,,Number,
6578,Dimmit,,Number,
6579,Donley,,Number,
6580,Duval,,Number,
6581,Eastland,,Number,
6582,Ector,,Number,
6583,Edwards,,Number,
6584,Ellis,,Number,
6585,El Paso,,Number,
6586,Erath,,Number,
6587,Falls,,Number,
6588,Fannin,,Number,
6589,Fayette,,Number,
6590,Fisher,,Number,
6591,Floyd,,Number,
6592,Foard,,Number,
6593,Fort Bend,,Number,
6594,Franklin,,Number,
6595,Freestone,,Number,
6596,Frio,,Number,
6597,Gaines,,Number,
6598,Galveston,,Number,
6599,Garza,,Number,
6600,Gillespie,,Number,
6601,Glasscock,,Number,
6602,Goliad,,Number,
6603,Gonzales,,Number,
6604,Gray,,Number,
6605,Grayson,,Number,
6606,Gregg,,Number,
6607,Grimes,,Number,
6608,Guadalupe,,Number,
6609,Hale,,Number,
6610,Hall,,Number,
6611,Hamilton,,Number,
6612,Hansford,,Number,
6613,Hardeman,,Number,
6614,Hardin,,Number,
6615,Harris,,Number,
6616,Harrison,,Number,
6617,Hartley,,Number,
6618,Haskell,,Number,
6619,Hays,,Number,
6620,Hemphill,,Number,
6621,Henderson,,Number,
6622,Hidalgo,,Number,
6623,Hill,,Number,
6624,Hockley,,Number,
6625,Hood,,Number,
6626,Hopkins,,Number,
6627,Houston,,Number,
6628,Howard,,Number,
6629,Hudspeth,,Number,
6630,Hunt,,Number,
6631,Hutchinson,,Number,
6632,Irion,,Number,
6633,Jack,,Number,
6634,Jackson,,Number,
6635,Jasper,,Number,
6636,Jeff Davis,,Number,
6637,Jefferson,,Number,
6638,Jim Hogg,,Number,
6639,Jim Wells,,Number,
6640,Johnson,,Number,
6641,Jones,,Number,
6642,Karnes,,Number,
6643,Kaufman,,Number,
6644,Kendall,,Number,
6645,Kenedy,,Number,
6646,Kent,,Number,
6647,Kerr,,Number,
6648,Kimble,,Number,
6649,King,,Number,
6650,Kinney,,Number,
6651,Kleberg,,Number,
6652,Knox,,Number,
6653,Lamar,,Number,
6654,Lamb,,Number,
6655,Lampasas,,Number,
6656,La Salle,,Number,
6657,Lavaca,,Number,
6658,Lee,,Number,
6659,Leon,,Number,
6660,Liberty,,Number,
6661,Limestone,,Number,
6662,Lipscomb,,Number,
6663,Live Oak,,Number,
6664,Llano,,Number,
6665,Loving,,Number,
6666,Lubbock,,Number,
6667,Lynn,,Number,
6668,McCulloch,,Number,
6669,McLennan,,Number,
6670,McMullen,,Number,
6671,Madison,,Number,
6672,Marion,,Number,
6673,Martin,,Number,
6674,Mason,,Number,
6675,Matagorda,,Number,
6676,Maverick,,Number,
6677,Medina,,Number,
6678,Menard,,Number,
6679,Midland,,Number,
6680,Milam,,Number,
6681,Mills,,Number,
6682,Mitchell,,Number,
6683,Montague,,Number,
6684,Montgomery,,Number,
6685,Moore,,Number,
6686,Morris,,Number,
6687,Motley,,Number,
6688,Nacogdoches,,Number,
6689,Navarro,,Number,
6690,Newton,,Number,
6691,Nolan,,Number,
6692,Nueces,,Number,
6693,Ochiltree,,Number,
6694,Oldham,,Number,
6695,Orange,,Number,
6696,Palo Pinto,,Number,
6697,Panola,,Number,
6698,Parker,,Number,
6699,Parmer,,Number,
6700,Pecos,,Number,
6701,Polk,,Number,
6702,Potter,,Number,
6703,Presidio,,Number,
6704,Rains,,Number,
6705,Randall,,Number,
6706,Reagan,,Number,
6707,Real,,Number,
6708,Red River,,Number,
6709,Reeves,,Number,
6710,Refugio,,Number,
6711,Roberts,,Number,
6712,Robertson,,Number,
6713,Rockwall,,Number,
6714,Runnels,,Number,
6715,Rusk,,Number,
6716,Sabine,,Number,
6717,San Augustine,,Number,
6718,San Jacinto,,Number,
6719,San Patricio,,Number,
6720,San Saba,,Number,
6721,Schleicher,,Number,
6722,Scurry,,Number,
6723,Shackelford,,Number,
6724,Shelby,,Number,
6725,Sherman,,Number,
6726,Smith,,Number,
6727,Somervell,,Number,
