,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,Average # of Individuals,% Children under 18
Anderson,"6,942","7,059","7,093","7,123","6,911","6,844","6,808","6,857","6,686","6,760","6,855","6,763","6,892",44.90%
Andrews,"1,797","1,853","1,871","1,852","1,761","1,740","1,727","1,641","1,596","1,603","1,567","1,507","1,710",49.32%
Angelina,"14,587","14,699","14,582","14,556","14,149","13,718","13,714","13,466","13,452","13,482","13,526","13,457","13,949",47.86%
Aransas,"3,413","3,448","3,488","3,464","3,431","3,371","3,341","3,290","3,122","3,057","2,992","2,964","3,282",38.56%
Archer,576,596,594,597,612,592,549,512,475,468,477,462,543,38.22%
Armstrong,120,122,120,105,100,109,109,100,101,101,113,122,110,44.70%
Atascosa,"9,512","9,621","9,668","9,676","9,288","9,106","9,041","8,912","8,770","8,807","8,814","8,745","9,163",49.25%
Austin,"2,888","2,932","2,944","2,927","2,855","2,798","2,727","2,695","2,741","2,757","2,769","2,807","2,820",50.70%
Bailey,929,946,949,956,916,935,919,909,872,824,824,808,899,60.22%
Bandera,"1,875","1,912","1,950","1,972","1,906","1,861","1,825","1,814","1,793","1,752","1,814","1,824","1,858",42.08%
Bastrop,"11,064","11,241","11,451","11,496","11,072","10,676","10,670","10,511","10,464","10,567","10,649","10,629","10,874",55.87%
Baylor,563,560,567,564,539,504,490,464,487,487,487,454,514,41.37%
Bee,"5,136","5,225","5,222","5,216","5,142","5,001","4,997","4,846","4,737","4,669","4,633","4,646","4,956",45.85%
Bell,"51,564","52,277","52,716","52,448","50,408","48,319","48,044","47,237","46,885","47,151","47,016","46,500","49,214",50.33%
Bexar,"287,236","290,085","290,620","290,224","280,914","272,955","272,021","267,460","265,090","265,611","266,618","264,150","276,082",48.42%
Blanco,535,555,550,556,551,509,529,557,547,530,527,561,542,42.15%
Borden,65,59,50,44,44,46,44,42,42,45,53,48,49,48.97%
Bosque,"1,982","1,978","1,935","1,966","1,916","1,874","1,885","1,918","1,861","1,840","1,800","1,833","1,899",44.00%
Bowie,"14,809","14,930","14,895","14,841","14,435","14,176","14,060","14,093","13,989","14,080","14,119","13,969","14,366",47.81%
Brazoria,"34,875","35,206","35,470","35,692","34,634","33,520","33,453","32,999","32,703","32,928","33,365","33,241","34,007",50.76%
Brazos,"19,731","20,056","20,073","20,150","19,560","19,002","18,949","18,777","18,607","18,775","18,592","18,209","19,207",53.16%
Brewster,706,732,764,775,753,736,736,699,659,653,628,614,705,36.70%
Briscoe,116,120,130,121,131,120,121,112,116,125,145,147,125,40.16%
Brooks,"2,302","2,330","2,357","2,367","2,296","2,280","2,269","2,240","2,135","2,193","2,217","2,299","2,274",46.03%
Brown,"4,764","4,914","4,999","5,051","4,902","4,771","4,731","4,761","4,665","4,689","4,670","4,683","4,800",41.99%
Burleson,"2,431","2,432","2,474","2,485","2,390","2,318","2,329","2,304","2,274","2,252","2,288","2,279","2,355",45.95%
Burnet,"3,453","3,484","3,544","3,554","3,406","3,331","3,272","3,173","3,128","3,126","3,141","3,119","3,311",45.96%
Caldwell,"5,938","6,092","6,138","6,152","5,912","5,724","5,684","5,573","5,566","5,535","5,642","5,526","5,790",53.70%
Calhoun,"2,763","2,770","2,813","2,807","2,726","2,648","2,653","2,616","2,529","2,547","2,575","2,536","2,665",45.72%
Callahan,"1,614","1,607","1,628","1,632","1,606","1,609","1,585","1,501","1,515","1,516","1,462","1,397","1,556",42.21%
Cameron,"105,078","106,051","106,109","105,999","102,664","100,474","100,109","99,079","98,086","98,486","98,787","98,256","101,598",50.61%
Camp,"2,089","2,147","2,186","2,177","2,111","2,101","2,127","2,050","2,047","1,989","1,982","1,943","2,079",49.38%
Carson,417,418,413,427,442,413,411,406,407,364,343,334,400,44.67%
Cass,"5,129","5,122","5,115","5,126","5,016","4,921","4,890","4,828","4,809","4,839","4,898","4,865","4,963",42.87%
Castro,939,965,955,951,901,854,844,812,784,818,785,753,863,50.68%
Chambers,"4,241","4,294","4,281","4,352","4,340","4,155","4,055","3,963","3,913","3,976","3,959","3,969","4,125",52.04%
Cherokee,"7,963","8,081","8,076","8,088","7,831","7,579","7,521","7,461","7,411","7,438","7,457","7,377","7,690",50.27%
Childress,824,839,841,841,835,800,827,849,812,825,819,810,827,42.07%
Clay,936,940,949,943,925,897,865,855,855,849,795,788,883,40.83%
Cochran,513,533,547,527,509,491,499,473,452,453,443,450,491,42.29%
Coke,334,328,324,330,322,327,351,346,353,329,314,310,331,45.79%
Coleman,"1,122","1,124","1,154","1,155","1,139","1,097","1,084","1,069","1,048","1,071","1,040","1,045","1,096",41.14%
Collin,"43,176","43,417","43,871","43,968","42,636","41,463","41,158","40,600","40,008","40,256","40,555","40,347","41,788",50.14%
Collingsworth,424,416,393,402,381,384,388,372,364,367,356,346,383,42.06%
Colorado,"2,307","2,363","2,379","2,397","2,352","2,332","2,343","2,317","2,312","2,339","2,302","2,281","2,335",50.23%
Comal,"9,129","9,193","9,358","9,390","9,212","8,930","8,805","8,682","8,603","8,583","8,670","8,516","8,923",47.06%
Comanche,"1,675","1,661","1,708","1,701","1,655","1,590","1,583","1,571","1,557","1,538","1,547","1,536","1,610",45.33%
Concho,302,305,291,295,276,245,265,273,267,280,278,268,279,45.11%
Cooke,"4,017","4,055","4,057","4,055","3,934","3,803","3,746","3,701","3,559","3,608","3,671","3,646","3,821",51.44%
Coryell,"8,712","8,823","8,911","9,000","8,740","8,403","8,332","8,147","8,068","8,014","8,035","8,018","8,434",49.30%
Cottle,209,211,223,215,214,218,218,200,178,167,170,178,200,35.03%
Crane,478,485,485,500,468,442,402,405,377,365,369,409,432,53.08%
Crockett,318,323,335,315,289,278,267,280,262,270,260,269,289,48.01%
Crosby,"1,240","1,280","1,234","1,245","1,199","1,166","1,168","1,167","1,129","1,151","1,114","1,096","1,182",48.45%
Culberson,390,395,384,391,388,382,353,364,339,341,327,324,365,42.33%
Dallam,528,529,518,537,527,524,513,527,487,485,473,451,508,56.27%
Dallas,"331,260","335,541","337,871","336,694","325,423","315,454","312,530","306,334","302,036","303,121","303,338","300,171","317,481",51.72%
Dawson,"1,929","1,992","1,965","2,001","1,927","1,851","1,855","1,839","1,776","1,734","1,753","1,695","1,860",48.22%
Deaf Smith,"2,651","2,670","2,709","2,702","2,625","2,580","2,599","2,527","2,537","2,531","2,476","2,476","2,590",53.67%
Delta,782,793,801,791,770,766,733,743,753,730,705,723,758,46.30%
Denton,"42,953","43,334","43,834","43,794","42,200","41,043","40,961","40,353","39,875","40,174","40,580","40,019","41,593",52.11%
DeWitt,"3,168","3,247","3,205","3,229","3,075","3,027","2,983","2,837","2,752","2,726","2,766","2,725","2,978",45.84%
Dickens,264,268,274,273,267,264,246,235,247,241,222,220,252,34.62%
Dimmit,"2,659","2,677","2,673","2,651","2,538","2,485","2,439","2,431","2,390","2,359","2,326","2,327","2,496",46.96%
Donley,347,347,362,372,371,353,344,338,324,324,325,305,343,41.32%
Duval,"3,128","3,168","3,217","3,193","3,068","2,931","2,928","2,915","2,876","2,858","2,902","2,921","3,009",42.13%
Eastland,"2,439","2,475","2,529","2,501","2,426","2,378","2,397","2,388","2,383","2,387","2,376","2,337","2,418",39.97%
Ector,"21,886","22,240","22,496","22,629","21,645","21,027","20,276","19,884","19,427","19,344","19,552","19,271","20,806",50.85%
Edwards,267,269,257,258,250,244,260,241,251,254,243,240,253,46.97%
Ellis,"16,042","16,327","16,409","16,480","15,917","15,381","15,378","15,222","15,067","15,142","15,307","15,150","15,652",51.85%
El Paso,"151,773","154,400","155,174","155,315","151,386","148,372","147,583","145,020","142,785","142,767","142,758","141,096","148,202",45.33%
Erath,"3,269","3,330","3,340","3,357","3,218","3,097","3,083","2,950","2,825","2,881","2,864","2,848","3,089",48.58%
Falls,"2,844","2,841","2,818","2,837","2,749","2,691","2,655","2,618","2,626","2,608","2,627","2,563","2,706",44.75%
Fannin,"3,525","3,570","3,588","3,614","3,490","3,462","3,512","3,428","3,356","3,368","3,375","3,388","3,473",43.36%
Fayette,"1,836","1,855","1,873","1,856","1,839","1,834","1,840","1,813","1,751","1,732","1,747","1,710","1,807",46.59%
Fisher,474,461,470,481,489,468,439,424,428,436,436,434,453,44.14%
Floyd,"1,096","1,129","1,105","1,100","1,096","1,020","1,016",981,977,981,976,949,"1,036",45.93%
Foard,116,117,122,122,124,122,117,109,100,103,102,98,113,34.02%
Fort Bend,"59,270","60,272","60,710","60,929","59,515","58,022","57,777","57,112","56,896","57,707","58,194","58,029","58,703",48.37%
Franklin,"1,304","1,338","1,336","1,343","1,302","1,233","1,221","1,221","1,160","1,177","1,142","1,142","1,243",46.16%
Freestone,"2,470","2,537","2,583","2,558","2,468","2,411","2,401","2,381","2,325","2,319","2,274","2,247","2,415",46.60%
Frio,"3,814","3,797","3,813","3,874","3,671","3,629","3,599","3,591","3,588","3,589","3,640","3,621","3,686",47.53%
Gaines,"1,895","1,935","1,919","1,893","1,821","1,790","1,763","1,701","1,717","1,729","1,637","1,607","1,784",50.55%
Galveston,"36,623","37,103","37,531","37,764","36,917","36,015","35,790","35,277","34,848","35,070","35,312","35,325","36,131",46.98%
