Location,Data,DataFormat,TimeFrame,LocationType,LocationId
Texas,30516218,Number,2023,State,45
Anderson,57501,Number,2023,County,6515
Andrews,18662,Number,2023,County,6516
Angelina,87030,Number,2023,County,6517
Aransas,25008,Number,2023,County,6518
Archer,9096,Number,2023,County,6519
Armstrong,1817,Number,2023,County,6520
Atascosa,50591,Number,2023,County,6521
Austin,31874,Number,2023,County,6522
Bailey,6730,Number,2023,County,6523
Bandera,22293,Number,2023,County,6524
Bastrop,110793,Number,2023,County,6525
Baylor,3528,Number,2023,County,6526
Bee,31045,Number,2023,County,6527
Bell,388063,Number,2023,County,6528
Bexar,2087996,Number,2023,County,6529
Blanco,12981,Number,2023,County,6530
Borden,580,Number,2023,County,6531
Bosque,18834,Number,2023,County,6532
Bowie,91043,Number,2023,County,6533
Brazoria,394817,Number,2023,County,6534
Brazos,245065,Number,2023,County,6535
Brewster,9708,Number,2023,County,6536
Briscoe,1425,Number,2023,County,6537
Brooks,6820,Number,2023,County,6538
Brown,38621,Number,2023,County,6539
Burleson,19475,Number,2023,County,6540
Burnet,54303,Number,2023,County,6541
Caldwell,49733,Number,2023,County,6542
Calhoun,19809,Number,2023,County,6543
Callahan,13968,Number,2023,County,6544
Cameron,426062,Number,2023,County,6545
Camp,12922,Number,2023,County,6546
Carson,5971,Number,2023,County,6547
Cass,28677,Number,2023,County,6548
Castro,7206,Number,2023,County,6549
Chambers,53145,Number,2023,County,6550
Cherokee,52416,Number,2023,County,6551
Childress,6812,Number,2023,County,6552
Clay,10818,Number,2023,County,6553
Cochran,2528,Number,2023,County,6554
Coke,3290,Number,2023,County,6555
Coleman,7857,Number,2023,County,6556
Collin,1193092,Number,2023,County,6557
Collingsworth,2581,Number,2023,County,6558
Colorado,21242,Number,2023,County,6559
Comal,188526,Number,2023,County,6560
Comanche,14014,Number,2023,County,6561
Concho,3338,Number,2023,County,6562
Cooke,43561,Number,2023,County,6563
Coryell,84045,Number,2023,County,6564
Cottle,1334,Number,2023,County,6565
Crane,4757,Number,2023,County,6566
Crockett,2960,Number,2023,County,6567
